level_key,features_set,classifier,K,feature,importance
Level1,all_features_help_received,Random Forest,0,level_time_spent,0.0013880248299091957
Level1,all_features_help_received,Random Forest,0,CO_tot_base_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_for_disp_time,0.009092763346791054
Level1,all_features_help_received,Random Forest,0,CO_tot_while_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_base_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_var_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_condi_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_for_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_while_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_base_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_var_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_condi_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_for_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_while_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_code_editor_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_control_function_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_program_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_error_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_structuration_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_comment_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_creation_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_modif_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_usage_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_type_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_1bran_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_2bran_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_3bran_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_for_simple_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_for_counter_0_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_for_counter_n_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_while_simple_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_pasted,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_code_editor_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_control_function_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_base_program_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_base_error_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_base_structuration_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_base_comment_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_var_creation_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_var_modif_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_var_usage_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_var_type_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_condi_1bran_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_condi_2bran_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_condi_3bran_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_for_simple_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_for_counter_0_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_for_counter_n_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_while_simple_copied,0.0
Level1,all_features_help_received,Random Forest,0,CO_rate_pasted,0.0
Level1,all_features_help_received,Random Forest,0,GA_tot_open_chest_loc_error,0.0
Level1,all_features_help_received,Random Forest,0,GA_tot_open_chest_key_error,0.0
Level1,all_features_help_received,Random Forest,0,GA_tot_read_message_loc_error,0.0
Level1,all_features_help_received,Random Forest,0,GA_tot_walk_loc_error,0.0
